mileage,charge_time,charge_soc,charge_U,charge_I,charge_temp,charge_energy
65909.9,4240,59.0,20.90000000000009,85.0,17.0,51.31100000000001
65971.3,4100,38.0,29.5,63.0,1.0683229813664603,34.571999999999996
66033.2,7500,34.0,44.60000000000002,-6.0,8.0,29.973000000000003
66033.2,60,0.0,-4.100000000000023,0.0,6.0,0.006
66156.2,4500,72.0,22.5,170.0,8.06832298136646,61.79
66156.2,50,0.0,-1.1000000000000227,1.0,7.0,0.002
66218.0,6090,37.77221438645981,19.14367088607628,95.23489425981873,3.0683229813664603,29.125999999999998
66278.0,4110,39.0,38.39999999999998,88.0,8.0,33.283
66398.3,10110,63.0,27.09999999999991,97.0,6.06832298136646,53.995
66398.3,20,0.0,-1.3000000000000682,0.0,6.0,0.006999999999999999
66398.3,60,0.0,-0.5,2.0,6.0,0.006
66398.3,20,0.0,-0.2999999999999545,0.0,6.0,0.006
66398.3,10,0.0,-0.10000000000002274,1.0,6.0,0.002
66460.5,6680,40.0,43.09999999999991,70.0,9.0,34.856
66522.8,2330,35.0,35.19999999999993,16.0,9.0,29.8
66522.8,10,0.0,-0.3000000000000682,-1.0,5.0,0.002
66645.3,4330,70.0,18.600000000000023,171.0,10.06832298136646,59.797
66707.6,6270,30.0,39.200000000000045,14.0,8.0,26.784000000000002
66707.6,10,0.0,-1.1000000000000227,1.0,4.0,0.002
66767.7,5990,26.0,38.299999999999955,-17.0,1.0683229813664603,23.410999999999998
66889.0,4360,62.0,14.400000000000091,153.0,14.0,53.907
66949.5,2600,40.0,21.600000000000023,69.0,9.0,34.606
67009.5,6400,35.77221438645981,19.443670886076234,67.23489425981873,5.06832298136646,31.473000000000003
67131.4,11260,74.0,26.0,99.0,5.06832298136646,63.247
67131.4,80,0.0,-3.7999999999999545,4.0,6.0,0.022000000000000002
67131.4,10,0.0,-0.20000000000004547,0.0,6.0,0.002
67194.6,8160,43.77221438645981,20.543670886076256,45.23489425981873,1.0683229813664603,37.246
67256.7,6490,34.0,35.5,15.0,9.0,29.02
67256.7,50,0.0,-1.0,0.0,5.0,0.002
67379.6,12140,70.0,26.800000000000068,90.0,4.06832298136646,59.678999999999995
67379.6,10,0.0,-0.2999999999999545,-1.0,5.0,0.002
67379.6,10,0.0,0.10000000000002274,-3.0,5.0,0.005
67379.6,50,0.0,0.0,0.0,5.0,0.002
67440.9,2400,39.0,30.300000000000068,-111.0,10.0,33.735
67501.0,2410,33.0,41.39999999999998,16.0,9.0,29.581999999999997
67501.0,10,0.0,-1.8000000000000682,0.0,6.0,0.003
67622.2,16070,68.0,29.0,78.0,4.06832298136646,57.457
67622.2,50,0.0,-0.39999999999997726,0.0,6.0,0.002
67682.8,4020,33.0,29.200000000000045,-14.0,7.0,29.351
67744.6,2390,27.772214386459808,18.743670886076302,6.234894259818731,1.0683229813664603,21.570999999999998
67865.3,3900,61.0,18.899999999999977,171.0,14.0,53.117
67927.7,2190,32.0,17.600000000000023,41.0,7.0,28.525
67987.5,6030,32.0,27.399999999999977,-115.0,8.0,27.349
68108.1,15350,70.0,28.40000000000009,88.0,3.0683229813664603,60.445
68170.8,7890,40.0,44.39999999999998,17.0,7.0,34.525
68170.8,10,0.0,-1.1999999999999318,-1.0,4.0,0.002
68170.8,20,0.0,-0.8999999999999773,0.0,4.0,0.006
68230.5,6070,30.0,32.200000000000045,-106.0,8.0,25.808000000000003
68353.9,771410,76.0,32.19999999999993,97.0,6.06832298136646,65.77600000000001
