vehicle_id,mileage,charge_energy,charge_time,charge_soc,charge_U,charge_I,charge_temp
1,69054.6,9.071,30800,28.799999999999997,9.5,-0.09999999999999964,5.0
1,69180.2,21.745,833095,66.0,37.200000000000045,0.0,4.0
1,69284.2,10.434000000000001,33670,33.2,9.600000000000023,-0.09999999999999964,6.0
1,69377.0,17.99,821279,54.0,32.39999999999998,-0.09999999999999964,5.0
1,69431.6,6.99,6770,22.0,13.0,-10.200000000000003,3.0
1,69546.0,18.29,821960,56.8,33.80000000000001,0.10000000000000053,5.0
1,69612.0,9.907,3900,30.400000000000006,29.399999999999977,15.299999999999999,5.0
1,69759.2,21.296999999999997,832200,66.0,36.69999999999999,-0.09999999999999964,4.0
1,69914.8,21.855999999999998,833321,68.0,32.099999999999966,0.0,4.0
1,69959.5,8.089,24690,24.799999999999997,24.80000000000001,0.0,4.0
1,70049.0,13.029000000000002,806929,40.0,33.200000000000045,0.0,3.0
1,70109.9,7.78,3060,24.799999999999997,13.699999999999989,-13.8,4.0
1,70251.3,21.871,837379,66.8,38.400000000000034,0.09999999999999964,6.0
1,70399.4,21.078000000000003,831710,64.8,31.100000000000023,0.0,4.0
1,70455.1,8.615,7390,26.0,30.30000000000001,1.1999999999999993,4.0
1,70610.5,22.055,837783,68.0,33.30000000000001,-0.20000000000000018,4.0
1,70673.0,9.692,32000,29.599999999999994,29.599999999999966,-0.09999999999999964,3.0
1,70808.9,20.767,831099,64.4,33.700000000000045,0.0,5.0
1,70884.0,7.321000000000001,6830,23.200000000000003,12.299999999999955,-10.800000000000004,4.0
1,70954.0,17.012,819250,52.8,32.19999999999999,-0.10000000000000053,5.0
1,71021.1,8.908,3500,28.0,15.399999999999977,-19.200000000000003,5.0
1,71132.0,20.651,830821,64.0,33.60000000000002,-0.10000000000000053,6.0
1,71199.7,12.503,41831,38.0,31.80000000000001,0.0,4.0
1,71329.9,20.345,830249,63.2,33.19999999999999,0.20000000000000018,6.0
1,71437.9,9.08,7530,28.799999999999997,11.600000000000023,-11.199999999999996,7.0
1,71493.5,20.773000000000003,831159,64.8,34.89999999999998,-0.10000000000000053,7.0
1,71562.6,10.642999999999999,8100,22.47755417956658,135.22177051671702,-273.2,6.0
