charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy,charge_time,charge_soc,charge_U,charge_I,charge_temp
20171101001754,20171101001844,135930.0,31.2,31.2,374.0,374.6,-16.1,-16.1,19.0,9.0,0.084,90,0.0,0.6000000000000227,0.0,10.0
20171101180757,20171101180937,136063.0,5.6,6.4,325.0,328.0,-59.9,-64.2,19.0,9.0,0.569,180,0.8000000000000007,3.0,-4.300000000000004,10.0
20171101181147,20171101185227,136063.0,6.4,23.6,322.7,363.9,-2.0,-50.3,19.0,9.0,13.623,4080,17.200000000000003,41.19999999999999,-48.3,10.0
20171101221133,20171101231154,136105.0,15.2,34.4,333.1,374.6,-2.4,-16.4,19.0,9.0,15.671,10021,19.2,41.5,-13.999999999999998,10.0
20171102133608,20171102134938,136199.0,17.2,26.0,342.2,365.1,-88.7,-88.6,19.0,9.0,7.0729999999999995,1330,8.8,22.900000000000034,0.10000000000000853,10.0
20171102173605,20171102182305,136270.0,12.8,32.8,331.5,370.6,-98.5,-16.4,19.0,9.0,16.442999999999998,8700,19.999999999999996,39.10000000000002,82.1,10.0
20171102225418,20171102235959,136376.0,6.4,31.2,326.7,374.5,-109.4,-18.3,19.0,9.0,20.324,10541,24.799999999999997,47.80000000000001,91.10000000000001,10.0
20171103193641,20171103195341,136494.0,18.0,24.8,357.9,364.2,-105.0,-29.6,26.0,19.0,5.832999999999999,1700,6.800000000000001,6.300000000000011,75.4,7.0
20171103231237,20171104001954,136536.0,12.0,31.2,332.8,374.5,-1.0,-16.3,28.0,15.0,15.714,770717,19.2,41.69999999999999,-15.3,13.0
20171104181546,20171104192156,136646.0,8.4,31.2,326.2,374.6,-0.6,-16.4,25.0,14.0,18.548,10610,22.799999999999997,48.400000000000034,-15.799999999999999,11.0
20171104213652,20171104234652,136671.0,28.4,36.0,356.5,374.6,-1.9,-7.7,23.0,16.0,6.287000000000001,21000,7.600000000000001,18.100000000000023,-5.800000000000001,7.0
20171110135610,20171110150100,137853.0,9.6,31.2,328.0,374.6,-1.0,-16.4,26.0,15.0,17.715,14490,21.6,46.60000000000002,-15.399999999999999,11.0
